#This txt sheet contains the sum of the FC values for every run that is present in the PIDclary folder
#The files in the PIDclary folder are the output of the PID analysis which checked to see if there was 
#a corresponding fcrationom file to the root22 file. 
#Brandon Clary
#Output of FCAdd.py
#5-24-2017
59190 90094988 90120596
59191 231306910 231203764
59192 228041031 227950281
59193 244885692 244614113
59194 80877462 80729869
59195 243941642 243750368
59196 233814574 233085782
59197 52104666 51909462
59198 234853030 234853275
59199 239655759 239528780
59200 107589909 107745576
59201 42971359 42818800
59202 145337109 145047498
59203 41418877 41306275
59204 252751275 252408957
59205 62437068 62202202
59206 10259742 10232477
59207 4496545 4483907
59208 8879107 8860154
59209 4445137 4434149
59210 4394808 4385385
59211 4383664 4372328
59212 257169030 257447351
59213 65180841 65261542
59214 105735417 106105926
59216 245385956 244943718
59217 231490515 231418636
59218 141256717 141418253
59219 163682536 163548456
59220 120727260 120740318
59418 3330545 3338083
59424 23610486 23650300
59425 171088325 171461251
59429 54880302 54899836
59432 56285260 56252851
59444 3214487 3202699
59445 7943915 7955651
59447 9477863 9505739
59453 48550051 48636275
59456 45428914 45491817
59457 152542061 152561508
59458 18794450 18806948
59459 47568044 47565627
59461 157342495 157301414
59462 48720052 48693660
59463 163777286 163785013
59464 19253920 19223162
59465 29737427 29699000
59468 174318945 174356049
59471 21962427 21955944
59472 184320530 184284769
59474 8504934 8518016
59475 120011725 120119356
59476 11703830 11720280
59477 204970202 205070296
59481 200276730 200429129
59483 117595832 117662082
59484 80156725 80216359
59486 51211351 51273285
59487 175553675 175627062
59488 25066267 25081654
59490 3997419 4006275
59492 107777055 107847197
59493 2271883 2274684
59494 176232293 176491810
59495 13054467 13078546
59497 237943944 238406176
59498 119840926 120089422
59500 181505379 181905338
59501 150988092 151289109
59502 202515164 202945200
59504 193687804 194199957
59505 99081143 99300536
59506 62220418 62385032
59507 184523692 184941887
59509 16086068 16119160
59510 32359335 32440201
59511 140632039 140967260
59512 175158703 175388212
59513 197837366 198169481
59514 12747312 12740365
59515 44083757 44082000
59516 52681571 52673268
59517 119149607 119096026
59518 228033517 227926822
59519 225864693 225739588
59520 5263942 5272757
59522 111005487 111190340
59523 211669484 211783937
59524 36973218 36968246
59525 154637120 154626377
59526 177428433 177334232
59527 180621284 180527596
59528 35213567 35224715
59529 191303078 191255085
59533 138257372 138317317
59534 140319999 140290749
59537 136685649 136796732
59538 33891832 33863758
59539 123741378 123556664
59541 123318862 123187244
59542 169570856 169324843
59543 153627660 153239115
59549 87276499 87272094
59551 53617371 53636054
59552 22198933 22211524
59553 176032082 176320495
59554 57457658 57494902
59555 175010430 174999825
59557 203580676 203677899
59558 88462591 88525986
59559 171389800 171457926
59561 172570678 172657504
59562 6424834 6437788
59563 177469900 177536045
59564 6426965 6432483
59565 64622813 64717223
59566 141613882 142229335
59567 85533344 85830098
59570 0 0
59572 53618972 53839048
59573 132847680 133413205
59574 95857040 96021311
59575 1823167 1839901
59576 163445227 163744766
59578 150986611 151364058
59579 51058008 50971258
59580 76388147 76504363
59581 40190927 40261240
59582 67852406 68033784
59584 37966989 38152135
59585 161404866 161839782
59586 177309899 177935054
59587 167575897 168068439
59588 174282455 174783276
59591 173388393 173827677
59592 113622385 113782365
59593 173700494 173888255
59594 169098617 169564549
59595 167514865 167744186
59596 19843149 19817869
59597 80672869 80710146
59598 157536314 157790896
59599 167634166 167789016
59600 174929925 175178047
59602 161558697 162054682
59603 178871101 179195873
59604 71279590 71273838
59609 202956551 203306534
59610 187240308 187555684
59611 130340173 130449514
59612 176491920 176762709
59613 198808758 199329674
59617 60773896 60829271
59618 102843797 103034985
59619 183844159 184085920
59621 165483130 165863686
59622 111299767 111377218
59623 157487992 157732323
59624 150959011 151103979
59637 183387044 183174869
59638 115852592 115565599
59639 162657609 162418044
59640 185117509 184658794
59641 178591289 178318236
59642 178127187 177947397
59644 117949883 117806142
59645 171799027 171494435
59646 184812972 184586532
59647 105739743 105633937
59648 18262164 18140911
59650 198363976 198125829
59651 188880295 188633598
59653 16987209 17011440
59655 118766367 118633127
59656 188801271 188883915
59657 191551727 191412316
59659 177088612 177009256
59660 171371252 171073637
59662 173040853 173027994
59664 168668044 168504265
59666 91248811 91556552
59688 135418600 135435340
59692 146058945 146168402
59693 170548897 170428421
59694 100566029 100478855
59695 171387746 171302338
59696 22313915 22280319
59697 94593786 94573295
59698 66418477 66408217
59702 20979934 20942189
59703 121677758 121471029
59704 174629667 174339395
59705 101266159 101040363
59706 3688277 3692115
59707 166012944 166609108
59709 167816375 168366686
59710 164498149 165025355
59711 170353667 170922824
59712 179526124 180107783
59714 55188466 55353267
59715 171131894 171647488
59716 51131065 51272558
59717 94444364 94629739
59718 173222499 173499300
59719 173337089 173606877
59720 177442871 177766862
59723 68851355 68950012
59724 168610127 168815935
59725 76264768 76370093
59726 176720221 177004797
59728 174471756 174707994
59729 178430945 178609608
59730 139700056 139839370
59732 171811906 171798403
59733 71966008 72100844
59734 116107221 116286427
59735 132871213 133160213
59736 3737179 3730641
59737 95036813 95193693
59738 18445670 18478455
59739 6734769 6762941
59740 14912410 14922480
59742 47253554 47211456
59743 35442659 35432419
59744 32407764 32412703
59745 38214460 38197384
59746 101809891 101786361
59747 161765844 161572525
59748 167125557 167183509
59749 8235808 8211325
59751 169173097 169311791
59752 174212178 174252517
59753 19661368 19658502
59754 13173829 13243159
59755 178834383 179749813
59756 172364534 173132845
59757 179111567 179440692
59758 168516315 168797875
59760 177359915 177648353
59761 174411903 174696903
59762 201156207 201535338
59763 172706564 172942645
59765 99950134 100054099
59768 81877973 82085416
59769 156042207 156216628
59771 160649965 160770256
59772 172503816 172712457
59773 205155875 205339252
59774 187903339 188149682
59777 168327426 168561618
59778 167706534 167935422
59779 149326280 149510768
59781 173042842 173230439
59782 180290992 180488751
59783 173101765 173270704
59784 171832719 171941187
59786 178518698 178596045
59787 182873694 182939929
59788 147628878 147705230
59793 99906520 99888056
59794 174151364 174126773
59795 174833402 174797713
59797 172199727 172156403
59798 188987786 189000680
59799 160532421 160512476
59800 170482657 170410706
59802 172326137 172277953
59803 180639677 180611156
59804 137657662 137609261
59805 171814038 171814746
59807 157808696 157938824
59808 68024916 68058568
59809 172605883 172599192
59810 179994320 179977035
59811 162187523 162158391
59812 185566059 185583322
59814 184818494 184806841
59815 171674900 171667855
59816 158949051 158934992
59817 105007244 104969432
59819 149971415 149975505
59820 134988766 134964046
59821 146985874 147053254
59822 142041749 142064291
59824 148753691 148817914
59825 159575207 159585003
59826 151777665 151816139
59827 147955794 148008306
